id,quote,image,tag,likes,author
32,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",https://images.gr-assets.com/authors/1436929110p2/82952.jpg,be-yourself,48083,Marilyn Monroe
33,"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",https://images.gr-assets.com/authors/1380085320p2/1265.jpg,books,48038,Jane Austen
34,It does not do to dwell on dreams and forget to live.,https://images.gr-assets.com/authors/1510435123p2/1077326.jpg,life,47574,J.K. Rowling
35,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,https://images.gr-assets.com/authors/1429114964p2/9810.jpg,inspirational,47299,Albert Einstein
36,"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",https://images.gr-assets.com/authors/1353452301p2/1406384.jpg,love,45098,John Green
37,"Good friends, good books, and a sleepy conscience: this is the ideal life.",https://images.gr-assets.com/authors/1322103868p2/1244.jpg,contentment,44759,Mark Twain
38,"It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.",https://images.gr-assets.com/authors/1534627057p2/2868190.jpg,misattributed-to-mark-twain,43333,Maurice Switzer
39,"The fool doth think he is wise, but the wise man knows himself to be a fool.",https://images.gr-assets.com/authors/1424313573p2/947.jpg,wisdom,42831,William Shakespeare
40,"We are all in the gutter, but some of us are looking at the stars.",https://images.gr-assets.com/authors/1521044377p2/3565.jpg,optimism,42734,Oscar Wilde
41,Life is what happens to us while we are making other plans.,https://images.gr-assets.com/authors/1368887014p2/276029.jpg,life,42438,Allen Saunders
42,"Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).",https://images.gr-assets.com/authors/1322103868p2/1244.jpg,majority,42376,Mark Twain
43,"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.",https://images.gr-assets.com/authors/1234150163p2/1221698.jpg,dragons,42196,Neil Gaiman
44,"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",https://images.gr-assets.com/authors/1320885123p2/3230608.jpg,hope,41086,Bill Keane
45,"I have not failed. I've just found 10,000 ways that won't work.",https://images.gr-assets.com/authors/1400354079p2/3091287.jpg,failure,40113,Thomas A. Edison
46,A woman is like a tea bag; you never know how strong it is until it's in hot water.,https://images.gr-assets.com/authors/1536173756p2/44566.jpg,misattributed-eleanor-roosevelt,39904,Eleanor Roosevelt
47,The man who does not read has no advantage over the man who cannot read.,https://images.gr-assets.com/authors/1322103868p2/1244.jpg,attributed-no-source,39210,Mark Twain
